"customer_id","ls__customer_id__customer_name","customer_city","geo__customer_city__city_pushpin_longitude","geo__customer_city__city_pushpin_latitude","customer_country","customer_email","customer_state","customer_created_date","wdf__client_id"
"C-XWA545GH","Matthew Mata","San Jose","-121.951552","37.34235","United States","matthew.mata@nec.co.uk","California","2021-08-04","merchant__clothing"
"C-ZPWYAF04","Dr. Taylor Carey","Louisville","-85.6788","38.2355","United States","dr..taylor.carey@adobe.com","Kentucky","2021-08-04","merchant__electronics"
"C-UO2UJC0W","William Davis","Benton","-88.351384","37.025964","United States","william.davis@hexun.com","Kentucky","2021-08-05","merchant__bigboxretailer"
"C-4VL3L6YG","Adam Reed","Ballston Spa","-73.784962","43.07968","United States","adam.reed@hexun.com","New York","2021-08-05","merchant__bigboxretailer"
"C-X5MI301U","Keith King","Great Falls","-111.3777","47.4895","United States","keith.king@Aliquam.net","Montana","2021-08-05","merchant__clothing"
"C-3LO5EDXY","Karen Lewis","New York","-73.958178","40.801295","United States","karen.lewis@furl.net","New York","2021-08-05","merchant__electronics"
"C-VB8S6M1D","Joe Graham","Springfield","-89.6779","39.8527","United States","joe.graham@a.co.uk","Illinois","2021-08-05","merchant__electronics"
"C-K6240000","Robert Carroll","Oakland","-122.263842","37.806277","United States","robert.carroll@furl.net","California","2021-08-05","merchant__electronics"
"C-453CYYHP","Alyssa Perkins MD","Pittsburgh","-79.950272","40.526477","United States","alyssa.perkins.md@in.edu","Pennsylvania","2021-08-06","merchant__electronics"
"C-W5P02NDU","James Thornton","Cassville","-80.058625","39.716279","United States","james.thornton@aliquet.com","West Virginia","2021-08-06","merchant__clothing"
"C-C3UP09BB","Kenneth Garcia","Renton","-122.337554","47.614934","United States","kenneth.garcia@hexun.com","Washington","2021-08-06","merchant__electronics"
"C-ID511SV3","Brent Davis","Chicago","-87.631195","41.892160","United States","brent.davis@a.co.uk","Illinois","2021-08-06","merchant__electronics"
"C-5MX52VV1","Jeffrey Morrison","Iowa City","-91.530233","41.661148","United States","jeffrey.morrison@furl.net","Iowa","2021-08-06","merchant__bigboxretailer"
"C-E94ILFWE","Sonia Tucker","Naperville","-88.153589","41.75059","United States","sonia.tucker@icq.com","Illinois","2021-08-07","merchant__clothing"
"C-Q399A3GQ","Jessica Rodriguez","Schwenksville","-75.348934","40.200639","United States","jessica.rodriguez@adobe.com","Pennsylvania","2021-08-08","merchant__electronics"
"C-A15XA63D","Ryan Hart MD","Norwalk","-73.418762","41.100323","United States","ryan.hart.md@nonsollicitudin.net","Connecticut","2021-08-08","merchant__bigboxretailer"
"C-BAWTY79X","Stacey Dixon","Edison","-74.197761","39.951931","United States","stacey.dixon@in.edu","New Jersey","2021-08-08","merchant__clothing"
"C-4755KGHX","Christopher Lopez","Riverdale","-84.426484","33.591193","United States","christopher.lopez@adobe.com","Georgia","2021-08-08","merchant__clothing"
"C-KKV53Z87","Michelle Thomas","Fort Lauderdale","-80.14261","26.117177","United States","michelle.thomas@velconvallis.ca","Florida","2021-08-08","merchant__bigboxretailer"
"C-2AW606TE","Mr. Eric Hooper","Kennesaw","-84.166372","33.890770","United States","mr..eric.hooper@a.co.uk","Georgia","2021-08-09","merchant__bigboxretailer"
"C-OX83SIS9","Barbara Cortez","Hermitage","-93.207565","37.941829","United States","barbara.cortez@nec.co.uk","Missouri","2021-08-09","merchant__electronics"
"C-WB6A2HLR","Brendan Jenkins","Stoney Creek","-79.760949","43.216546","Canada","brendan.jenkins@viverra.org","Ontario","2021-08-09","merchant__electronics"
"C-P2TU25MB","Cindy Davenport","Bloomington","-93.298395","44.840819","United States","cindy.davenport@hexun.com","Minnesota","2021-08-09","merchant__electronics"
"C-G4MLAH25","Gregory Santiago","North Dartmouth","-70.925272","41.632780","United States","gregory.santiago@in.edu","Massachusetts","2021-08-09","merchant__bigboxretailer"
"C-DZECSGUE","Amanda Figueroa","East York","-79.383961","43.652569","Canada","amanda.figueroa@bbc.co.uk","Ontario","2021-08-09","merchant__clothing"
"C-LPGCYTQU","Terry Bowman","New York","-74.006096","40.712880","United States","terry.bowman@nonsollicitudin.net","New York","2021-08-09","merchant__bigboxretailer"
"C-ZJPVM10K","Amanda Robbins","Kitchener","-80.49506443","43.45296938","Canada","amanda.robbins@adobe.com","Ontario","2021-08-09","merchant__clothing"
"C-XKJ1160Q","Catherine Chang","Greenville","-77.37364","35.607556","United States","catherine.chang@lacusMauris.net","North Carolina","2021-08-09","merchant__bigboxretailer"
"C-ZFVVFYUF","Jennifer Smith","Bedford","-97.238415","32.857959","United States","jennifer.smith@nonsollicitudin.net","Texas","2021-08-09","merchant__bigboxretailer"
"C-KE6BDY7A","Mitchell Lin","Chicago","-87.636925","41.883987","United States","mitchell.lin@nunc.net","Illinois","2021-08-10","merchant__bigboxretailer"
"C-6M3XO59Y","Amy Shepherd","Chicago","-87.631145","41.892132","United States","amy.shepherd@viverra.org","Illinois","2021-08-10","merchant__bigboxretailer"
"C-SGU66AUG","Daniel Wong","Arecibo","-66.732432","18.467438","United States","daniel.wong@bbc.co.uk","Puerto Rico","2021-08-10","merchant__electronics"
"C-2VMCP2CC","Robert Brown","Columbus","-82.995250","39.968966","United States","robert.brown@nec.co.uk","Ohio","2021-08-10","merchant__bigboxretailer"
"C-5REE1VCI","Melanie Gray","Santa Rosa","-122.715681","38.44331","United States","melanie.gray@furl.net","California","2021-08-10","merchant__electronics"
"C-XL2N62QL","Stephanie Smith","North Battleford","-108.28611035","52.75750019","Canada","stephanie.smith@euodio.ca","Saskatchewan","2021-08-11","merchant__bigboxretailer"
"C-1C85I7JK","Andrew Shelton","Memphis","-89.8755","35.3574","United States","andrew.shelton@nec.co.uk","Tennessee","2021-08-11","merchant__clothing"
"C-AR4UTDSW","Ronald Perez","Jefferson City","-92.1790","38.6043","United States","ronald.perez@in.edu","Missouri","2021-08-11","merchant__clothing"
"C-S99J6VWA","Jessica Cole","San Bernardino","-117.219672","34.122529","United States","jessica.cole@viverra.org","California","2021-08-11","merchant__bigboxretailer"
"C-1VVPRURK","Andrew Garcia","Oelwein","-92.07130","42.701417","United States","andrew.garcia@sociisnatoque.net","Iowa","2021-08-11","merchant__electronics"
"C-EJZ86LCW","Kathryn Mcdonald","Glendale","-112.186085","33.538771","United States","kathryn.mcdonald@icq.com","Arizona","2021-08-11","merchant__clothing"
"C-R673Q4BH","William Martinez","Saint-jean-chrysostome","-71.181834","46.807885","Canada","william.martinez@yahoo.co.jp","Quebec","2021-08-12","merchant__electronics"
"C-M826YJ9S","John Clark","South Strafford","-72.367383","43.838143","United States","john.clark@a.co.uk","Vermont","2021-08-12","merchant__bigboxretailer"
"C-QE32B6WZ","Ryan Cochran","Silver Spring","-77.029368","38.999958","United States","ryan.cochran@furl.net","Maryland","2021-08-12","merchant__electronics"
"C-JC4TU1EK","Daniel Parsons","Hassell","-77.258934","35.825993","United States","daniel.parsons@yahoo.co.jp","North Carolina","2021-08-12","merchant__bigboxretailer"
"C-G2I92WIY","Ryan Best","Pittsburgh","-79.950234","40.526489","United States","ryan.best@velconvallis.ca","Pennsylvania","2021-08-13","merchant__clothing"
"C-CB7145TJ","Cynthia Wade","Montreal","-73.568929","45.503491","Canada","cynthia.wade@bbc.co.uk","Quebec","2021-08-13","merchant__clothing"
"C-J83XFABM","Jodi Olsen","Stoney Creek","-79.760961","43.216516","Canada","jodi.olsen@foxnews.com","Ontario","2021-08-14","merchant__clothing"
"C-OH9794SC","Rachel White","Gloucester","-75.585738","45.302729","Canada","rachel.white@viverra.org","Ontario","2021-08-15","merchant__bigboxretailer"
"C-XKS15Q4G","Anthony Chavez","Great Falls","-111.3716","47.4886","United States","anthony.chavez@lacusMauris.net","Montana","2021-08-15","merchant__electronics"
"C-QJEI78PY","Diane Benson","Colchester","-73.147933","44.543932","United States","diane.benson@foxnews.com","Vermont","2021-08-16","merchant__electronics"
"C-2T91XNBT","Carol Carr","Edison","-74.197766","39.951979","United States","carol.carr@bbc.co.uk","New Jersey","2021-08-17","merchant__clothing"
"C-QOWD3D26","Wayne Sawyer","Moncton","-64.77582044","46.08888065","Canada","wayne.sawyer@nunc.net","New Brunswick","2021-08-17","merchant__bigboxretailer"
"C-YR5GI0W7","Russell Williams","Salt Lake City","-111.821133","40.667723","United States","russell.williams@nunc.net","Utah","2021-08-17","merchant__clothing"
"C-G0QNXPCN","Luis Rivera","Cacouna","-69.53211","47.833874","Canada","luis.rivera@velconvallis.ca","Quebec","2021-08-18","merchant__clothing"
"C-WA3TQDE2","Nancy Cobb DVM","Saint Louis","-90.400257","38.660186","United States","nancy.cobb.dvm@sociisnatoque.net","Missouri","2021-08-18","merchant__clothing"
"C-I0PC5ML9","Margaret Young","Seaford","-73.51169","40.67272","United States","margaret.young@viverra.org","New York","2021-08-19","merchant__bigboxretailer"
"C-CFSHSB69","Michelle Bush","Fort Smith","-94.3772","35.3363","United States","michelle.bush@furl.net","Arkansas","2021-08-19","merchant__bigboxretailer"
"C-FGGHIZ59","Chris Casey","Bakersfield","-119.016680","35.373482","United States","chris.casey@sociisnatoque.net","California","2021-08-20","merchant__electronics"
"C-BJS8DPH8","Manuel Johnson","Morristown","-74.480421","40.793638","United States","manuel.johnson@nonsollicitudin.net","New Jersey","2021-08-20","merchant__electronics"
"C-YLWWVB3N","Wesley Robles","San Francisco","-122.394773","37.784450","United States","wesley.robles@lacusMauris.net","California","2021-08-20","merchant__electronics"
"C-52XDOQP3","Brianna Massey","Oakland","-122.263813","37.806250","United States","brianna.massey@nec.co.uk","California","2021-08-20","merchant__electronics"
"C-CSOZZEVQ","Robert Lee","Springfield","-89.6781","39.8531","United States","robert.lee@hexun.com","Illinois","2021-08-20","merchant__electronics"
"C-AJCY41ZC","Jennifer Mendoza","Springfield","-89.6775","39.8582","United States","jennifer.mendoza@in.edu","Illinois","2021-08-20","merchant__electronics"
"C-L6PGPDK1","Jonathan James Jr.","Aurora","-79.450497","44.006543","Canada","jonathan.james.jr.@yahoo.co.jp","Ontario","2021-08-20","merchant__clothing"
"C-HXFPP1LR","Kelsey Becker","Winnipeg","-97.151951","49.868751","Canada","kelsey.becker@nec.co.uk","Manitoba","2021-08-21","merchant__bigboxretailer"
"C-BIJ527R2","Shawn Macdonald","Ellershouse","-64.133235","44.991336","Canada","shawn.macdonald@viverra.org","Nova Scotia","2021-08-21","merchant__bigboxretailer"
"C-EWM757G0","Bruce Allen","San Bernardino","-117.219652","34.122561","United States","bruce.allen@nec.co.uk","California","2021-08-21","merchant__electronics"
"C-VNU1PNG7","William Pace","Walnut","-117.630427","34.052536","United States","william.pace@foxnews.com","California","2021-08-21","merchant__bigboxretailer"
"C-AH3DPAY9","Carrie Choi","South Strafford","-72.367318","43.838124","United States","carrie.choi@velconvallis.ca","Vermont","2021-08-21","merchant__bigboxretailer"
"C-WZQ4LSX9","Kimberly Smith","West Chester","-84.515556","39.100541","United States","kimberly.smith@viverra.org","Ohio","2021-08-21","merchant__bigboxretailer"
"C-VQVVDRKM","Michael Hines","Metairie","-90.152994","29.984128","United States","michael.hines@nonsollicitudin.net","Louisiana","2021-08-21","merchant__electronics"
"C-TOW6ILN7","Alyssa Robinson","Denver","-104.994826","39.746712","United States","alyssa.robinson@viverra.org","Colorado","2021-08-21","merchant__electronics"
"C-4YWKDVTN","Michael Jones","Dayton","-84.194753","39.760376","United States","michael.jones@foxnews.com","Ohio","2021-08-22","merchant__electronics"
"C-GFIUH0US","Rebecca Williams","Frankfort","-84.873318","38.200913","United States","rebecca.williams@foxnews.com","Kentucky","2021-08-22","merchant__clothing"
"C-J6TSF1WR","Timothy Williams","Baton Rouge","-91.1577","30.5357","United States","timothy.williams@nunc.net","Louisiana","2021-08-22","merchant__electronics"
"C-R9GS08LD","Kaylee Willis MD","Corydon","-93.499189","40.857450","United States","kaylee.willis.md@bizjournals.com","Iowa","2021-08-23","merchant__clothing"
"C-PN1WO5SV","Thomas Gomez","Springfield","-89.6711","39.8555","United States","thomas.gomez@nunc.net","Illinois","2021-08-25","merchant__bigboxretailer"
"C-A4XL1JWW","Albert Allison","Bathurst","-65.65000280","47.61999942","Canada","albert.allison@sociisnatoque.net","New Brunswick","2021-08-25","merchant__electronics"
"C-593LX1X7","Lisa Green","Freedom","-99.316869","36.983247","United States","lisa.green@icq.com","Oklahoma","2021-08-25","merchant__electronics"
"C-PBCC6KW5","Beth Foster","East Fairfield","-73.01311","44.665246","United States","beth.foster@nunc.net","Vermont","2021-08-26","merchant__electronics"
"C-6ZJKDXWY","David Le","Harrisburg","-76.886721","40.273230","United States","david.le@hexun.com","Pennsylvania","2021-08-26","merchant__electronics"
"C-3SDF4RMY","Roy Bowers","Oak Brook","-87.944768","41.9872","United States","roy.bowers@velconvallis.ca","Illinois","2021-08-27","merchant__electronics"
"C-C8D0RP1A","Brenda Miranda","Crestview","-86.1246","30.719238","United States","brenda.miranda@Aliquam.net","Florida","2021-08-27","merchant__electronics"
"C-GV7201NJ","Eric Schmitt","Waterbury","-73.051556","41.558274","United States","eric.schmitt@viverra.org","Connecticut","2021-08-27","merchant__electronics"
"C-UHSN45XW","Patricia Long","Santa Rosa","-122.715638","38.44371","United States","patricia.long@nonsollicitudin.net","California","2021-08-27","merchant__electronics"
"C-928LTFGF","Jordan Campbell","Long Beach","-118.288525","33.883220","United States","jordan.campbell@velconvallis.ca","California","2021-08-27","merchant__electronics"
"C-QPL3H3R5","Richard Cortez","Metairie","-90.152965","29.984115","United States","richard.cortez@euodio.ca","Louisiana","2021-08-27","merchant__electronics"
"C-KLTCNKWJ","Blake White","Las Vegas","-115.139877","36.169966","United States","blake.white@bizjournals.com","Nevada","2021-08-27","merchant__electronics"
"C-LQI9JUDK","Dr. Chris Wright","Birmingham","-86.799260","33.370476","United States","dr..chris.wright@furl.net","Alabama","2021-08-28","merchant__electronics"
"C-SVWNER17","Juan Villa","Paris","-84.250347","38.209354","United States","juan.villa@furl.net","Kentucky","2021-08-28","merchant__clothing"
"C-UISWHB60","Jared Mcdonald","Omaha","-96.052327","41.267985","United States","jared.mcdonald@bbc.co.uk","Nebraska","2021-08-29","merchant__electronics"
"C-81U7KLC7","Elizabeth Brown","Edison","-74.197778","39.951984","United States","elizabeth.brown@nunc.net","New Jersey","2021-08-29","merchant__electronics"
"C-QETQ5EZJ","Kevin Swanson","Bakersfield","-119.016657","35.373451","United States","kevin.swanson@yahoo.co.jp","California","2021-08-29","merchant__electronics"
"C-U43IIL94","Billy Joseph","Idaho Falls","-112.040827","43.492798","United States","billy.joseph@sociisnatoque.net","Idaho","2021-08-29","merchant__electronics"
"C-0B9YJG1F","Robert Gomez","Warwick","-81.909856","43.004990","Canada","robert.gomez@lacusMauris.net","Ontario","2021-08-29","merchant__electronics"
"C-A3MO8EWJ","Dustin Herrera","Tulsa","-95.985336","36.150928","United States","dustin.herrera@nunc.net","Oklahoma","2021-08-29","merchant__electronics"
"C-28CPGASI","Cameron Gonzalez","Gatineau","-75.845833","45.391313","Canada","cameron.gonzalez@Aliquam.net","Quebec","2021-08-29","merchant__electronics"
"C-LDDB4ZUQ","Judy Lynch","Joliet","-88.081784","41.525052","United States","judy.lynch@aliquet.com","Illinois","2021-08-29","merchant__clothing"
"C-JJM3JZTL","Dana Martinez","Houston","-95.363839","29.749717","United States","dana.martinez@nec.co.uk","Texas","2021-08-30","merchant__bigboxretailer"
"C-9KEVX0H1","Randy Moreno","Riverdale","-84.359242","33.52267","United States","randy.moreno@in.edu","Georgia","2021-08-30","merchant__electronics"
"C-RSE3U1KZ","Matthew Castro","Cedar Rapids","-91.668743","41.981514","United States","matthew.castro@hexun.com","Iowa","2021-08-30","merchant__clothing"
"C-1WBYWCI6","Jose Hernandez","Vegreville","-112.053998","53.494139","Canada","jose.hernandez@icq.com","Alberta","2021-08-31","merchant__electronics"
"C-INEH3ZFM","Jessica Green","Roselle","-88.079483","41.986226","United States","jessica.green@adobe.com","Illinois","2021-08-31","merchant__clothing"
"C-DVIRMYUX","Darrell Brown","Pixley","-119.293623","35.968396","United States","darrell.brown@icq.com","California","2021-08-31","merchant__clothing"
"C-S9SRPHVW","Charles Weiss","Frederick","-77.410531","39.414320","United States","charles.weiss@Aliquam.net","Maryland","2021-08-31","merchant__clothing"
"C-AIUEEO9D","Ian Aguilar","Memphis","-90.041638","35.142965","United States","ian.aguilar@nonsollicitudin.net","Tennessee","2021-09-01","merchant__bigboxretailer"
"C-7UI4HA0K","Tammy Green","Labrecque","-71.524647","48.672583","Canada","tammy.green@hexun.com","Quebec","2021-09-01","merchant__electronics"
"C-8ZRUH08Z","Duane Patterson","Lafayette","-92.019898","30.224126","United States","duane.patterson@in.edu","Louisiana","2021-09-02","merchant__electronics"
"C-LAL9O6UG","Megan Brown","Raleigh","-78.650857","35.784331","United States","megan.brown@a.co.uk","North Carolina","2021-09-02","merchant__electronics"
"C-9US7BSUT","Emily Quinn","Watson Lake","-128.71208051","60.0628865","Canada","emily.quinn@nonsollicitudin.net","Yukon","2021-09-02","merchant__bigboxretailer"
"C-3LOGPMTQ","William Larson","Atlanta","-84.166390","33.890727","United States","william.larson@velconvallis.ca","Georgia","2021-09-02","merchant__electronics"
"C-GGZSWY8E","Kristen Reyes","Bowie","-76.877231","38.929172","United States","kristen.reyes@furl.net","Maryland","2021-09-02","merchant__bigboxretailer"
"C-1FMNZF0S","Jean Kelly","Dundas","-88.081411","38.736744","United States","jean.kelly@aliquet.com","Illinois","2021-09-02","merchant__electronics"
"C-UZOCSB5S","Alan Rodriguez","Fredericton","-66.642283","45.957787","Canada","alan.rodriguez@yahoo.co.jp","New Brunswick","2021-09-03","merchant__clothing"
"C-QCFCX8B1","Sarah Meyers","Toronto","-79.383914","43.652514","Canada","sarah.meyers@sociisnatoque.net","Ontario","2021-09-03","merchant__clothing"
"C-5IJUXSTL","Brian Parks","Houston","-95.366628","29.755886","United States","brian.parks@aliquet.com","Texas","2021-09-03","merchant__clothing"
"C-S83LS2ZD","James Santana","Green Bay","-88.1328","44.4833","United States","james.santana@bizjournals.com","Wisconsin","2021-09-03","merchant__electronics"
"C-YJOA7IIV","Craig Dawson","Portland","-122.6024","45.6091","United States","craig.dawson@bbc.co.uk","Oregon","2021-09-03","merchant__clothing"
"C-9TBFM7A2","Scott Strickland","Rancho Cordova","-121.201660","38.634147","United States","scott.strickland@nec.co.uk","California","2021-09-04","merchant__bigboxretailer"
"C-3JDBE407","Alicia Price","Fort Wayne","-85.139471","41.079327","United States","alicia.price@bizjournals.com","Indiana","2021-09-04","merchant__bigboxretailer"
"C-G8K1S9MU","Matthew Kennedy Jr.","Oklahoma City","-97.516246","35.470251","United States","matthew.kennedy.jr.@nunc.net","Oklahoma","2021-09-04","merchant__electronics"
"C-HOC6478D","Erica Schroeder","New Haven","-72.8830","41.2724","United States","erica.schroeder@icq.com","Connecticut","2021-09-04","merchant__electronics"
"C-42B0YVMJ","Jose Bridges","Maryland Heights","-90.418934","38.703478","United States","jose.bridges@nonsollicitudin.net","Missouri","2021-09-05","merchant__electronics"
"C-5X06AOF6","Kenneth Haney","Canby","-96.451777","44.794470","United States","kenneth.haney@Aliquam.net","Minnesota","2021-09-05","merchant__electronics"
"C-3QTWVQEW","Taylor Stewart","Terryville","-72.942261","41.67282","United States","taylor.stewart@furl.net","Connecticut","2021-09-05","merchant__clothing"
"C-B5ML4C65","Mark Wells","Onoway","-112.832699","49.701873","Canada","mark.wells@lacusMauris.net","Alberta","2021-09-05","merchant__bigboxretailer"
"C-G2QBFTI1","Robert Gamble","Hartford","-72.677814","41.767771","United States","robert.gamble@hexun.com","Connecticut","2021-09-05","merchant__electronics"
"C-DIU7ANHI","Willie Sharp","San Mateo","-122.347965","37.575214","United States","willie.sharp@furl.net","California","2021-09-05","merchant__electronics"
"C-HDHB9SBS","David Bailey","Syracuse","-76.151751","43.047335","United States","david.bailey@foxnews.com","New York","2021-09-06","merchant__bigboxretailer"
"C-DT1JEFO5","Eric Hancock","Austin","-97.742161","30.272729","United States","eric.hancock@sociisnatoque.net","Texas","2021-09-06","merchant__clothing"
"C-N8FRZFZI","Tina Mcdowell","Mena","-94.241799","34.581481","United States","tina.mcdowell@icq.com","Arkansas","2021-09-06","merchant__bigboxretailer"
"C-CLB8KI6Z","Kendra Kane","Dayton","-84.194718","39.760390","United States","kendra.kane@sociisnatoque.net","Ohio","2021-09-06","merchant__clothing"
"C-WOFNXNU3","Kevin Blackburn","Cleveland","-81.690533","41.498910","United States","kevin.blackburn@foxnews.com","Ohio","2021-09-06","merchant__bigboxretailer"
"C-18JPUQOX","Mrs. Melissa Mcbride","Queensville","-79.410525","45.61756","Canada","mrs..melissa.mcbride@lacusMauris.net","Ontario","2021-09-06","merchant__bigboxretailer"
"C-MQZ75SN6","Ashley Jackson","Louisville","-85.762986","38.250485","United States","ashley.jackson@nec.co.uk","Kentucky","2021-09-07","merchant__bigboxretailer"
"C-6NPBMPO8","Richard Moore","Orlando","-81.372881","28.541218","United States","richard.moore@a.co.uk","Florida","2021-09-07","merchant__clothing"
"C-0UBW2U9F","Michael Acosta","Montague","-62.648049","46.165178","Canada","michael.acosta@aliquet.com","Prince Edward Island","2021-09-07","merchant__clothing"
"C-V3WSYVKL","Jacob Davis","Howard City","-85.465853","43.393413","United States","jacob.davis@hexun.com","Michigan","2021-09-07","merchant__clothing"
"C-9DTYMC7X","Cathy Harrington","Metairie","-90.152912","29.984144","United States","cathy.harrington@nec.co.uk","Louisiana","2021-09-07","merchant__bigboxretailer"
"C-6GDRLLOS","Aaron Harmon","Queensville","-79.410523","45.61771","Canada","aaron.harmon@euodio.ca","Ontario","2021-09-08","merchant__electronics"
"C-7OP2EJS6","Regina Dyer","Paris","-84.250361","38.209310","United States","regina.dyer@nunc.net","Kentucky","2021-09-08","merchant__electronics"
"C-2FXABP2B","Bryan Lewis","Quebec","-71.21666","46.815216","Canada","bryan.lewis@velconvallis.ca","Quebec","2021-09-08","merchant__bigboxretailer"
"C-C7SSU0WJ","James Phillips","Oakland","-122.263846","37.806282","United States","james.phillips@hexun.com","California","2021-09-09","merchant__electronics"
"C-6UIAWIOI","Tracy Petersen","Bloomington","-93.298383","44.840862","United States","tracy.petersen@bizjournals.com","Minnesota","2021-09-09","merchant__clothing"
"C-YC1GUNEP","Abigail Wells","Gatineau","-75.845855","45.391330","Canada","abigail.wells@icq.com","Quebec","2021-09-09","merchant__electronics"
"C-LOAK0JYZ","Jenna Acosta","Bozeman","-111.1582","45.7815","United States","jenna.acosta@foxnews.com","Montana","2021-09-09","merchant__clothing"
"C-UX8A6SKD","Nathan Phillips","Chevy Chase","-77.029386","38.999935","United States","nathan.phillips@icq.com","Maryland","2021-09-09","merchant__electronics"
"C-SG7CBF2H","Rachael Cole","New York","-74.015351","40.713810","United States","rachael.cole@icq.com","New York","2021-09-09","merchant__bigboxretailer"
"C-LI9VPAYW","Benjamin Oneal","New York","-74.015328","40.713849","United States","benjamin.oneal@bbc.co.uk","New York","2021-09-09","merchant__electronics"
"C-FMYUS395","Chris Shaw","Apple Valley","-117.189690","34.499799","United States","chris.shaw@bbc.co.uk","California","2021-09-10","merchant__clothing"
"C-KX23Y2RQ","Larry Turner","Puslinch","-80.248473","43.542232","Canada","larry.turner@icq.com","Ontario","2021-09-10","merchant__electronics"
"C-UF6BAPJ6","Dr. Melanie Burnett","Sherbrooke","-71.892945","45.404239","Canada","dr..melanie.burnett@bbc.co.uk","Quebec","2021-09-10","merchant__electronics"
"C-I7YVYH3I","James Brown","Tallahassee","-84.3748","30.3842","United States","james.brown@velconvallis.ca","Florida","2021-09-11","merchant__bigboxretailer"
"C-85X9GYYZ","Kristopher Escobar","Long Beach","-118.288590","33.883290","United States","kristopher.escobar@lacusMauris.net","California","2021-09-11","merchant__bigboxretailer"
"C-686Z2P94","Nicholas Hall","Colchester","-73.147923","44.543990","United States","nicholas.hall@nec.co.uk","Vermont","2021-09-11","merchant__clothing"
"C-FPYEKF67","Mark Hernandez","Shreveport","-93.751929","32.511389","United States","mark.hernandez@in.edu","Louisiana","2021-09-11","merchant__bigboxretailer"
"C-YOMGG8NY","Christopher Olsen","Spokane","-117.3398","47.6734","United States","christopher.olsen@icq.com","Washington","2021-09-12","merchant__clothing"
"C-SKKXTKP2","Tyler Webster","Salt Lake City","-111.881817","40.757821","United States","tyler.webster@furl.net","Utah","2021-09-12","merchant__bigboxretailer"
"C-KUB7UNDS","Jason Jones","Zeeland","-86.100580","42.792228","United States","jason.jones@foxnews.com","Michigan","2021-09-12","merchant__electronics"
"C-IIX264X7","William Crosby","San Francisco","-122.394777","37.784467","United States","william.crosby@euodio.ca","California","2021-09-12","merchant__bigboxretailer"
"C-SV2RUJFB","Lucas Reyes","Eugene","-123.2220","44.1272","United States","lucas.reyes@a.co.uk","Oregon","2021-09-12","merchant__bigboxretailer"
"C-MH2TCLLN","Bianca Morris","Vaughan","-79.508542","43.856342","Canada","bianca.morris@foxnews.com","Ontario","2021-09-13","merchant__bigboxretailer"
"C-3OGC3DV7","James Hinton","Charleston","-79.944346","32.792228","United States","james.hinton@Aliquam.net","South Carolina","2021-09-13","merchant__electronics"
"C-Z7EHB9DP","Jennifer Bauer","Louisville","-85.6789","38.2320","United States","jennifer.bauer@velconvallis.ca","Kentucky","2021-09-13","merchant__bigboxretailer"
